NAME,LINK,CATEGORY
NASDAQ,/stocks/exchange/nasdaq?ExchangeID=4,STOCK
NYSE,/stocks/exchange/nyse?ExchangeID=5,STOCK
FRANKFURT,/stocks/exchange/frankfurt?ExchangeID=6,STOCK
LONDON,/stocks/exchange/london?ExchangeID=7,STOCK
PARIS,/stocks/exchange/paris?ExchangeID=9,STOCK
MADRID,/stocks/exchange/bolsademadrid?ExchangeID=10,STOCK
MILANO,/stocks/exchange/borsaitaliana?ExchangeID=11,STOCK
ZURICH,/stocks/exchange/zurich?ExchangeID=12,STOCK
OSLO,/stocks/exchange/oslo?ExchangeID=14,STOCK
STOCKHOLM,/stocks/exchange/stockholm?ExchangeID=15,STOCK
COPENHAGEN,/stocks/exchange/copenhagen?ExchangeID=16,STOCK
HELSINKI,/stocks/exchange/helsinki?ExchangeID=17,STOCK
HONGKONG,/stocks/exchange/hongkong?ExchangeID=21,STOCK
LISBON,/stocks/exchange/lisbon?ExchangeID=22,STOCK
BRUXELLES,/stocks/exchange/brussels?ExchangeID=23,STOCK
SAUDIARABIA,/stocks/exchange/tadawul?ExchangeID=24,STOCK
AMSTERDAM,/stocks/exchange/amsterdam?ExchangeID=30,STOCK
CRYPTO,/cryptocurrencies/coins,CRYPTO
INDEX,/indices,INDEX
COMMODITIES,/commodities,COMMODITIES
CURRENCIES,/currencies,CURRENCIES
ETF,/etf,ETF

